id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
BATTLE_CMD_0001,BATTLE,command,BATTLE.BIN,,0,,0,0x093BE8,,B5 EA DD 00 00 00 00 00 00 00,コンボ,콤보,UNASSIGNED,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0002,BATTLE,command,BATTLE.BIN,,1,,1,0x093BF2,,38 F0 39 F0 28 3F F0 34 F3 00,防御・回避,방어·회피,UNASSIGNED,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0003,BATTLE,command,BATTLE.BIN,,2,,2,0x093BFC,,47 F5 E8 F4 00 00 00 00 00 00,<47F5><E8F4>,UNTRANSLATED,UNASSIGNED,,"[""CUSTOM_CODE:47F5"",""CUSTOM_CODE:E8F4""]",UNTRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,슬롯 2는 원문 코드 47 F5 E8 F4의 의미가 미확정이므로 추측 번역하지 않음.
BATTLE_CMD_0004,BATTLE,command,BATTLE.BIN,,3,,3,0x093C06,,30 F1 EB F0 00 00 00 00 00 00,作戦,작전,UNASSIGNED,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0005,BATTLE,command,BATTLE.BIN,,4,,4,0x093C10,,57 F0 58 F0 00 00 00 00 00 00,道具,도구,UNASSIGNED,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0006,BATTLE,command,BATTLE.BIN,,5,,5,0x093C1A,,B1 EC C7 A5 AD ED 00 00 00 00,クリティカル,크리티컬,UNASSIGNED,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0007,BATTLE,command,BATTLE.BIN,,6,,6,0x093C24,,32 F1 33 F1 54 F0 E9 F0 00 00,武器使用,무기 사용,UNASSIGNED,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0008,BATTLE,command,BATTLE.BIN,,7,,7,0x093C2E,,4A F0 4B F0 00 00 00 00 00 00,魔法,마법,UNASSIGNED,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0009,BATTLE,command,BATTLE.BIN,,8,,8,0x093C38,,4C F0 4D F0 4E F0 00 00 00 00,必殺技,필살기,UNASSIGNED,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0010,BATTLE,command,BATTLE.BIN,,9,,9,0x093C42,,AC 27 D7 00 00 00 00 00 00 00,オーブ,오브,UNASSIGNED,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_MSG_0001,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,0,0x090DA8,,4F F2 22 F1,実行,실행,UNASSIGNED,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
BATTLE_MSG_0002,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,1,0x090DB0,,30 F1 EB F0,作戦,작전,UNASSIGNED,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
BATTLE_MSG_0003,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,2,0x091688,,36 F0 37 F0,攻撃,공격,UNASSIGNED,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
BATTLE_MSG_0004,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,3,0x09168D,,3F F0 B6 F0,回復,회복,UNASSIGNED,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
BATTLE_MSG_0005,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,4,0x091692,,35 F1 6F F0,強化,강화,UNASSIGNED,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
BATTLE_MSG_0006,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,5,0x0916A5,,3A F0,敵,적,UNASSIGNED,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
BATTLE_MSG_0007,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,6,0x0916AA,,3B F0 3C F0,味方,아군,UNASSIGNED,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
BATTLE_MSG_0008,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,7,0x0916AF,,3B F0 3C F0,味方,아군,UNASSIGNED,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
BATTLE_MSG_0009,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,8,0x0916B9,,3D F0 5B F0,自分,자신,UNASSIGNED,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
